,STATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
66,USW00093738,2015-03-08,3.13,0.0,0.0,41,55,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,USW00093738,2015-03-09,0.67,0.0,0.0,42,61,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68,USW00093738,2015-03-10,1.34,0.53,0.0,39,45,30,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,USW00093738,2015-03-11,4.7,0.0,0.0,49,62,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,USW00093738,2015-03-12,8.05,0.0,0.0,48,56,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,USW00093738,2015-03-13,5.59,0.0,0.0,40,51,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,USW00093738,2015-03-14,7.61,0.55,0.0,47,57,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,USW00093738,2015-03-15,14.54,0.0,0.0,49,55,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,USW00093738,2015-03-16,3.13,0.0,0.0,45,69,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,USW00093738,2015-03-17,14.32,0.0,0.0,55,69,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,USW00093738,2015-03-18,10.51,0.0,0.0,39,49,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,USW00093738,2015-03-19,2.91,0.0,0.0,40,51,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,USW00093738,2015-03-20,5.37,0.54,0.9,37,43,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,USW00093738,2015-03-21,4.92,0.0,0.0,41,61,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,USW00093738,2015-03-22,10.07,0.0,0.0,48,54,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,USW00093738,2015-03-23,6.49,0.0,0.0,40,47,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,USW00093738,2015-03-24,4.03,0.0,0.0,40,47,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,USW00093738,2015-03-25,4.7,0.02,0.0,37,51,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,USW00093738,2015-03-26,12.3,0.12,0.0,57,74,45,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85,USW00093738,2015-03-27,9.84,0.63,0.0,47,49,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,USW00093738,2015-03-28,16.78,0.0,0.0,34,37,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,USW00093738,2015-03-29,7.61,0.0,0.0,32,46,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88,USW00093738,2015-03-30,10.74,0.0,0.0,48,62,41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89,USW00093738,2015-03-31,13.42,0.01,0.0,52,68,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,USW00093738,2015-04-01,6.49,0.0,0.0,46,58,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,USW00093738,2015-04-02,14.32,0.0,0.0,51,72,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,USW00093738,2015-04-03,12.3,0.22,0.0,64,70,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
